Name	Basis_ind	Es	Ep	Ed
H	0	-6.3233	100	100
Li	1	-2.7786	-1.0063	100
Be	1	-5.5055	-1.9313	100
B	1	-9.3213	-3.5217	100
C	1	-13.5882	-5.1806	100
N	1	-18.3876	-6.9917	100
O	1	-23.725	-8.9381	100
F	1	-29.6811	-11.0125	100
Na	1	-2.6455	-0.6556	100
Mg	1	-4.6187	-1.2416	100
Al	1	-7.6515	-2.6256	100
Si	1	-10.7049	-3.9932	100
P	1	-13.8557	-5.4181	100
S	1	-17.136	-6.9201	100
Cl	1	-20.5627	-8.5062	100
K	2	-2.1989	-0.6747	-0.1312
Ca	2	-3.6547	-1.2718	-1.8454
Sc	2	-4.085	-1.3456	-3.1428
Ti	2	-4.347	-1.331	-4.0656
V	2	-4.3727	-1.2153	-4.2223
Cr	2	-4.3746	-1.0764	-4.2928
Mn	2	-4.3786	-0.9746	-4.3505
Fe	2	-4.3911	-0.8715	-4.4108
Co	2	-4.2335	-0.5167	-4.2995
Ni	2	-4.248	-0.3946	-4.3731
Cu	2	-4.5506	-0.5855	-4.9911
Zn	2	-5.9305	-1.0049	-10.1008
Ga	2	-8.8812	-2.4866	-19.0647
Ge	1	-11.6643	-3.818	100
As	1	-14.4349	-5.1279	100
Se	1	-17.223	-6.4409	100
Br	1	-20.064	-7.7862	100
Rb	2	-2.0994	-0.5921	-0.3
Sr	2	-3.4017	-1.1318	-1.1543
Y	2	-3.9864	-1.2867	-2.3907
Zr	2	-4.3347	-1.3201	-3.4817
Nb	2	-4.5053	-1.3159	-4.3124
Mo	2	-4.2469	-1.0704	-4.2022
Tc	2	-3.9325	-0.7985	-3.9874
Ru	2	-3.5929	-0.4736	-3.7493
Rh	2	-3.3079	-0.2568	-3.6154
Pd	2	-3.2109	-0.1564	-3.9641
Ag	2	-4.3268	-0.5745	-7.3569
Cd	2	-5.6202	-1.0602	-11.5954
In	2	-8.1551	-2.4193	-18.4828
Sn	1	-10.4877	-3.5995	100
Sb	1	-12.7656	-4.7332	100
Te	1	-15.0608	-5.8767	100
I	1	-17.3546	-7.0038	100
Cs	2	-1.9276	-0.5431	-0.3
Ba	2	-3.0703	-1.0457	-1.8523
La	2	-3.075	100	-2.2784
Hf	2	-5.0187	-1.2994	-2.6052
Ta	2	-5.3481	-1.2418	-3.4993
W	2	-5.6245	-1.2092	-4.3914
Re	2	-5.8618	-1.1642	-5.2763
Os	2	-5.9152	-1.0547	-5.8238
Ir	2	-5.5876	-0.8041	-5.6416
Pt	2	-5.3377	-0.5975	-5.5187
Au	2	-5.7155	-0.6483	-6.8176
Hg	2	-9.7901	-0.8974	-6.7757
Tl	2	-9.499	-2.2651	-15.3839
Pb	1	-11.9754	-3.3964	100
Bi	1	-14.408	-4.47	100
T	1	0	-3.9477	100
X	0	0	100	100
Xa	1	40.817079366	-1.0063	100
Is	1	-10.6594	-3.9477	100
